GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",3497,490,1663,321,379,150,0,11,379,150,505,215,2,4,503,215,649,139,40,30,609,144,48,35,0,11,48,35,82,35,34,37,48,48,1834,263,419,178,0,11,419,178,573,162,44,50,529,155,628,135,111,61,517,137,120,44,0,11,120,44,94,54,68,37,26,33
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",1951,327,876,192,201,96,0,11,201,96,298,136,14,30,284,138,236,88,28,31,208,82,103,53,7,11,96,53,38,31,17,18,21,26,1075,220,319,141,0,11,319,141,294,93,60,66,234,85,345,100,86,65,259,103,52,33,43,31,9,14,65,39,54,33,11,17
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",1356,261,792,236,22,16,0,11,22,16,175,98,5,12,170,101,487,181,72,51,415,163,77,35,20,15,57,35,31,28,4,7,27,28,564,126,51,68,0,11,51,68,204,61,0,11,204,61,155,43,73,39,82,39,86,49,33,18,53,46,68,44,57,36,11,13
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",3849,398,2034,303,100,74,0,11,100,74,1169,308,0,11,1169,308,631,172,42,43,589,182,63,55,0,11,63,55,71,56,0,11,71,56,1815,301,54,62,0,11,54,62,1050,226,0,11,1050,226,464,112,79,47,385,115,111,70,20,32,91,62,136,116,74,81,62,80
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",4295,572,2466,460,121,81,0,11,121,81,1755,461,0,11,1755,461,476,171,85,90,391,131,97,55,18,28,79,50,17,26,0,11,17,26,1829,361,105,84,0,11,105,84,1036,352,2,5,1034,351,384,123,53,48,331,137,184,102,0,11,184,102,120,83,78,50,42,65
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",3903,420,1887,272,115,64,0,11,115,64,1002,260,33,49,969,250,679,138,21,24,658,136,79,34,11,18,68,36,12,18,0,11,12,18,2016,316,142,71,0,11,142,71,1195,309,5,10,1190,308,513,86,12,15,501,84,27,29,0,11,27,29,139,62,32,34,107,54
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",4161,370,1727,258,180,65,0,11,180,65,484,162,38,47,446,156,784,149,63,64,721,135,179,77,0,11,179,77,100,46,23,25,77,38,2434,271,229,96,0,11,229,96,888,238,2,6,886,237,1015,154,20,20,995,151,157,46,28,22,129,44,145,63,37,24,108,62
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",6773,431,2937,298,486,180,0,16,486,180,582,192,0,16,582,192,1273,130,35,39,1238,129,355,111,0,16,355,111,241,85,14,20,227,82,3836,334,441,171,0,16,441,171,797,188,26,44,771,198,1468,145,34,37,1434,146,440,130,30,33,410,125,690,180,249,116,441,143
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",3978,292,1697,182,119,72,0,11,119,72,550,149,8,12,542,148,705,107,75,49,630,109,175,53,26,33,149,44,148,55,37,27,111,53,2281,232,194,76,0,11,194,76,754,194,8,13,746,193,790,127,28,26,762,125,316,104,80,62,236,75,227,57,48,32,179,47
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",2455,197,1284,172,204,117,0,11,204,117,370,123,0,11,370,123,529,70,29,44,500,64,124,41,13,17,111,44,57,38,11,17,46,35,1171,114,147,57,0,11,147,57,323,75,15,26,308,74,501,78,10,15,491,78,128,42,12,17,116,42,72,37,21,23,51,30
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",2290,356,1106,212,140,95,0,11,140,95,207,103,0,11,207,103,492,108,31,29,461,104,141,52,0,11,141,52,126,60,66,51,60,32,1184,205,96,64,0,11,96,64,303,138,0,11,303,138,504,114,14,20,490,116,127,59,35,29,92,49,154,53,52,34,102,53
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",5491,834,2635,573,296,146,0,16,296,146,984,467,0,16,984,467,1035,302,50,45,985,297,259,106,0,16,259,106,61,47,46,40,15,24,2856,500,430,230,0,16,430,230,777,272,0,16,777,272,1310,210,51,60,1259,195,199,73,97,61,102,69,140,70,0,16,140,70
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",3216,464,1542,292,266,133,0,11,266,133,861,230,7,14,854,230,383,127,86,65,297,101,27,29,6,14,21,25,5,11,0,11,5,11,1674,316,194,150,0,11,194,150,1078,225,0,11,1078,225,364,128,0,11,364,128,0,11,0,11,0,11,38,38,21,34,17,18
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",2386,233,1383,210,87,64,0,11,87,64,641,180,0,11,641,180,508,120,9,11,499,120,97,50,7,11,90,48,50,39,16,22,34,42,1003,131,49,38,0,11,49,38,445,114,10,15,435,112,364,99,28,24,336,93,104,42,0,11,104,42,41,33,20,23,21,23
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",1801,309,914,246,99,74,0,11,99,74,328,158,0,11,328,158,372,118,77,60,295,106,57,44,0,11,57,44,58,55,25,39,33,39,887,148,67,46,0,11,67,46,317,115,0,11,317,115,389,102,131,78,258,80,62,46,0,11,62,46,52,49,37,42,15,27
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",2676,426,1034,254,181,97,0,11,181,97,373,171,7,21,366,168,424,119,113,64,311,120,51,38,1,4,50,37,5,14,0,11,5,14,1642,299,350,181,17,24,333,185,533,142,15,27,518,144,518,114,147,78,371,107,191,62,14,18,177,60,50,45,42,45,8,14
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",4771,470,2220,308,451,157,0,16,451,157,610,194,19,31,591,185,986,186,71,56,915,192,122,79,26,37,96,64,51,40,11,18,40,35,2551,376,560,191,0,16,560,191,692,196,61,67,631,188,1002,167,94,80,908,147,237,116,76,76,161,87,60,50,60,50,0,16
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",2365,276,968,193,64,37,0,11,64,37,407,137,0,11,407,137,388,99,35,34,353,104,92,43,25,25,67,35,17,18,4,7,13,17,1397,177,66,42,0,11,66,42,477,127,0,11,477,127,596,120,89,65,507,121,179,62,54,34,125,47,79,40,61,37,18,17
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",3650,390,1733,278,368,166,0,11,368,166,672,194,13,19,659,189,518,123,79,57,439,122,85,41,40,37,45,30,90,47,25,20,65,43,1917,206,193,80,0,11,193,80,752,147,21,35,731,137,726,148,129,78,597,124,126,54,33,33,93,44,120,61,72,53,48,32
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",3198,341,1555,215,183,68,0,11,183,68,346,122,0,11,346,122,718,137,71,37,647,140,155,81,19,25,136,67,153,78,59,54,94,61,1643,205,276,116,0,11,276,116,416,98,0,11,416,98,642,131,238,94,404,110,165,60,63,48,102,45,144,47,70,39,74,49
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",5632,382,2565,256,265,131,0,16,265,131,533,149,0,16,533,149,1205,163,76,50,1129,166,318,93,36,40,282,87,244,89,57,50,187,80,3067,308,297,141,0,16,297,141,972,256,0,16,972,256,1254,148,84,66,1170,141,280,70,68,49,212,67,264,103,80,51,184,90
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",2488,75,1332,122,176,60,0,11,176,60,471,152,0,11,471,152,470,81,43,42,427,80,155,53,12,18,143,53,60,69,0,11,60,69,1156,124,142,57,0,11,142,57,236,88,0,11,236,88,552,105,49,44,503,100,151,66,0,11,151,66,75,47,19,21,56,44
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",2723,288,1198,194,163,72,0,11,163,72,388,148,0,11,388,148,497,97,48,39,449,97,69,42,6,10,63,41,81,43,27,24,54,34,1525,186,199,72,0,11,199,72,351,113,0,11,351,113,605,135,149,86,456,109,231,77,88,50,143,67,139,54,68,35,71,41
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",4580,284,2176,258,311,105,0,11,311,105,682,191,0,11,682,191,943,156,68,71,875,163,191,78,48,58,143,59,49,42,0,11,49,42,2404,250,328,124,0,11,328,124,729,175,12,21,717,175,1068,163,103,71,965,170,136,121,15,28,121,101,143,93,83,76,60,47
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",2209,207,1113,154,235,74,0,11,235,74,265,90,0,11,265,90,536,97,40,46,496,100,30,22,6,9,24,20,47,43,0,11,47,43,1096,136,133,50,0,11,133,50,268,74,0,11,268,74,539,102,50,54,489,102,83,49,12,21,71,43,73,45,9,14,64,43
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",4838,305,2305,196,418,117,0,16,418,117,576,145,1,2,575,145,1007,132,58,44,949,136,213,81,20,20,193,78,91,40,19,19,72,35,2533,205,441,97,0,16,441,97,669,155,9,14,660,155,1048,101,14,17,1034,103,274,79,20,18,254,80,101,47,20,23,81,40
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",2626,262,1146,138,190,55,0,11,190,55,306,124,0,11,306,124,466,67,11,17,455,65,108,40,16,17,92,40,76,44,21,27,55,31,1480,214,210,77,0,11,210,77,363,124,0,11,363,124,507,69,8,13,499,69,203,138,0,11,203,138,197,60,52,31,145,53
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",6607,377,3469,340,582,202,0,16,582,202,858,208,0,16,858,208,1576,224,157,97,1419,234,248,106,18,29,230,106,205,80,78,60,127,64,3138,282,486,148,0,16,486,148,617,200,0,16,617,200,1458,142,121,80,1337,155,221,102,47,62,174,96,356,107,191,98,165,68
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",2273,167,1003,134,200,79,0,11,200,79,199,64,0,11,199,64,427,69,16,19,411,63,158,82,0,11,158,82,19,21,0,11,19,21,1270,124,218,55,0,11,218,55,264,91,11,18,253,91,539,79,22,25,517,79,173,75,48,49,125,61,76,42,43,33,33,30
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",6570,508,3205,309,547,177,27,41,520,176,767,203,0,16,767,203,1351,160,2,3,1349,159,348,101,30,45,318,104,192,88,76,65,116,73,3365,384,699,176,0,16,699,176,689,219,0,16,689,219,1500,167,64,50,1436,164,279,86,27,42,252,80,198,85,52,47,146,77
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",9393,459,4665,310,509,156,9,17,500,155,1827,204,36,33,1791,196,1588,216,71,56,1517,210,568,133,44,42,524,134,173,64,14,22,159,63,4728,311,448,151,0,16,448,151,1982,225,24,27,1958,228,1523,181,23,26,1500,178,501,117,61,48,440,118,274,81,48,39,226,70
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",3970,180,2056,242,312,75,0,11,312,75,671,213,0,11,671,213,874,141,23,26,851,140,140,69,0,11,140,69,59,46,0,11,59,46,1914,230,410,187,0,11,410,187,509,153,0,11,509,153,701,119,58,48,643,115,124,58,20,26,104,55,170,94,34,43,136,68
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",1598,151,847,95,197,57,0,11,197,57,170,46,0,11,170,46,351,50,11,12,340,51,75,24,13,14,62,22,54,28,0,11,54,28,751,83,112,48,0,11,112,48,151,49,0,11,151,49,350,43,1,6,349,44,90,29,0,11,90,29,48,23,15,13,33,21
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",6398,456,2984,304,448,166,0,16,448,166,627,193,0,16,627,193,1265,171,18,22,1247,176,355,103,80,45,275,101,289,102,85,53,204,89,3414,290,368,131,0,16,368,131,638,222,0,16,638,222,1641,179,39,39,1602,181,346,98,102,77,244,79,421,122,130,86,291,103
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",1999,120,971,94,218,64,0,11,218,64,141,63,0,11,141,63,417,52,5,7,412,52,115,29,3,6,112,29,80,28,14,12,66,25,1028,80,223,56,0,11,223,56,110,50,0,11,110,50,445,42,13,14,432,41,135,35,8,12,127,37,115,34,45,23,70,29
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",5809,377,2819,314,508,184,0,16,508,184,551,208,0,16,551,208,1362,199,15,24,1347,200,216,91,9,17,207,90,182,82,92,53,90,58,2990,307,513,149,0,16,513,149,484,177,9,15,475,180,1212,163,19,25,1193,165,305,109,13,21,292,107,476,123,209,114,267,96
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",6790,374,3159,266,504,125,0,16,504,125,753,189,0,16,753,189,1399,147,50,51,1349,149,308,96,48,42,260,91,195,72,40,32,155,77,3631,281,599,136,0,16,599,136,691,173,15,23,676,172,1581,163,126,71,1455,161,452,109,97,63,355,111,308,124,125,85,183,85
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",4176,243,2064,179,435,108,0,11,435,108,393,117,0,11,393,117,939,73,38,29,901,71,157,47,9,20,148,46,140,45,45,36,95,40,2112,152,335,72,0,11,335,72,484,127,17,28,467,132,992,89,66,50,926,72,212,52,10,21,202,45,89,42,15,16,74,39
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",2321,183,1195,136,142,57,0,11,142,57,290,100,0,11,290,100,550,81,37,27,513,84,104,31,9,10,95,31,109,42,23,16,86,40,1126,116,110,48,0,11,110,48,289,85,6,9,283,85,475,64,25,18,450,63,89,34,10,11,79,32,163,50,22,15,141,49
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",5067,211,2551,305,325,149,0,16,325,149,847,296,26,31,821,300,856,117,28,33,828,121,320,96,33,38,287,96,203,80,41,47,162,71,2516,246,269,109,0,16,269,109,542,142,30,45,512,143,1098,183,140,97,958,144,328,78,0,16,328,78,279,98,59,45,220,97
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",3961,318,2010,183,213,89,0,11,213,89,583,150,27,32,556,141,861,103,77,50,784,104,209,69,27,25,182,65,144,51,73,39,71,40,1951,217,192,75,0,11,192,75,480,116,8,13,472,114,783,131,52,34,731,137,225,73,17,17,208,73,271,56,50,31,221,47
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",3939,346,1892,239,221,76,0,11,221,76,635,144,0,11,635,144,717,94,8,13,709,95,190,71,9,14,181,69,129,72,0,11,129,72,2047,199,260,83,0,11,260,83,533,154,0,11,533,154,918,118,7,12,911,119,170,48,67,49,103,44,166,62,48,31,118,52
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",4881,315,2291,233,368,109,0,16,368,109,306,141,0,16,306,141,1033,158,6,14,1027,156,354,91,3,6,351,90,230,87,59,49,171,78,2590,237,364,110,0,16,364,110,407,148,0,16,407,148,1105,144,2,5,1103,145,298,96,41,37,257,90,416,111,76,40,340,106
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",5327,413,2482,298,624,198,0,16,624,198,353,148,0,16,353,148,1197,143,13,22,1184,143,223,78,27,30,196,77,85,53,16,26,69,49,2845,288,476,179,0,16,476,179,612,189,0,16,612,189,1300,141,19,29,1281,140,250,74,0,16,250,74,207,83,45,44,162,83
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",5762,349,2695,250,413,120,0,16,413,120,645,196,5,11,640,198,1216,135,69,67,1147,150,266,72,8,14,258,72,155,109,95,104,60,43,3067,258,424,121,0,16,424,121,496,169,0,16,496,169,1496,139,46,43,1450,143,345,81,38,40,307,75,306,140,194,122,112,72
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",5715,238,2783,210,515,138,0,16,515,138,483,140,3,7,480,140,1341,99,14,18,1327,96,331,71,0,16,331,71,113,61,18,26,95,59,2932,187,433,122,0,16,433,122,504,148,0,16,504,148,1340,118,22,31,1318,124,427,100,62,75,365,86,228,93,46,41,182,74
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",2888,293,1449,156,205,74,8,14,197,70,295,92,0,11,295,92,754,112,55,50,699,109,91,36,0,11,91,36,104,60,24,22,80,55,1439,216,233,100,0,11,233,100,285,132,0,11,285,132,595,98,29,31,566,101,127,56,39,39,88,40,199,58,26,22,173,57
1400000US36001014302,36001014302,"Census Tract 143.02, Albany County, New York",8079,421,3836,366,843,231,0,16,843,231,741,190,0,16,741,190,1790,159,40,38,1750,160,221,69,28,32,193,66,241,82,67,54,174,75,4243,315,919,191,0,16,919,191,768,213,0,16,768,213,1898,162,43,38,1855,163,436,126,44,41,392,114,222,84,71,53,151,79
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",3968,95,1996,125,233,87,0,11,233,87,457,142,0,11,457,142,912,115,22,25,890,121,222,76,19,22,203,76,172,61,29,22,143,60,1972,134,346,90,0,11,346,90,338,103,2,5,336,104,819,97,26,26,793,91,322,101,32,29,290,98,147,75,52,37,95,70
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",3146,66,1621,125,413,112,0,11,413,112,401,137,14,18,387,137,597,115,16,23,581,118,123,53,11,14,112,53,87,41,15,24,72,35,1525,114,143,55,0,11,143,55,356,129,0,11,356,129,742,97,43,41,699,94,126,61,8,13,118,59,158,67,44,33,114,50
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",2320,203,1276,162,214,46,0,11,214,46,320,132,9,15,311,133,522,64,10,11,512,63,105,32,0,11,105,32,115,33,34,28,81,29,1044,113,185,52,8,13,177,49,139,56,0,11,139,56,506,62,11,17,495,62,118,35,0,11,118,35,96,31,33,27,63,25
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",3439,196,1715,162,322,92,0,11,322,92,412,128,0,11,412,128,742,111,15,18,727,110,147,60,0,11,147,60,92,51,35,38,57,36,1724,137,265,72,0,11,265,72,298,101,0,11,298,101,879,114,59,58,820,118,215,76,47,32,168,75,67,37,0,11,67,37
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",2672,54,1305,74,317,72,0,11,317,72,187,59,0,11,187,59,572,49,16,15,556,50,150,31,5,7,145,29,79,34,21,14,58,32,1367,68,205,53,0,11,205,53,246,59,0,11,246,59,640,58,10,10,630,56,167,34,11,11,156,33,109,34,15,15,94,30
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",3230,246,1615,166,370,90,9,14,361,91,251,88,0,11,251,88,752,96,0,11,752,96,132,55,17,18,115,52,110,46,33,27,77,42,1615,162,241,81,0,11,241,81,311,91,13,21,298,92,822,83,50,41,772,95,128,45,11,16,117,44,113,44,27,22,86,40
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",7773,433,3657,275,788,165,0,16,788,165,559,180,0,16,559,180,1656,152,0,16,1656,152,469,104,0,16,469,104,185,73,6,11,179,74,4116,280,933,195,0,16,933,195,528,165,19,29,509,161,1866,163,79,53,1787,168,450,132,39,40,411,134,339,98,84,75,255,98
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",3973,350,2054,273,155,73,0,11,155,73,1147,219,24,25,1123,217,560,80,81,58,479,69,101,42,8,12,93,41,91,43,0,11,91,43,1919,209,113,52,0,11,113,52,922,180,12,18,910,178,580,77,35,31,545,78,156,49,14,16,142,45,148,60,19,17,129,56
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",4522,279,2421,210,322,86,15,24,307,87,766,226,10,14,756,226,1003,166,13,20,990,169,262,84,0,11,262,84,68,60,32,35,36,41,2101,241,220,70,0,11,220,70,688,211,0,11,688,211,841,113,15,23,826,109,223,76,0,11,223,76,129,68,48,43,81,57
