,Unnamed: 0,Geography,Estimate; Male: - 5 to 17 years: - With an ambulatory difficulty,Estimate; Female: - 5 to 17 years: - With an ambulatory difficulty,Margin of Error; Male: - 5 to 17 years: - With an ambulatory difficulty,Margin of Error; Female: - 5 to 17 years: - With an ambulatory difficulty,County,total,tract_no,County_code,adjusted_zeroes,boro_ct201
43,131,"Census Tract 71, Bronx County, New York",0,0,11,11, Bronx County,0,71.0,2,007100,2007100
44,132,"Census Tract 72, Bronx County, New York",0,0,16,16, Bronx County,0,72.0,2,007200,2007200
45,133,"Census Tract 73, Bronx County, New York",0,0,11,11, Bronx County,0,73.0,2,007300,2007300
46,134,"Census Tract 74, Bronx County, New York",42,0,50,11, Bronx County,42,74.0,2,007400,2007400
47,135,"Census Tract 75, Bronx County, New York",9,0,14,16, Bronx County,9,75.0,2,007500,2007500
48,136,"Census Tract 76, Bronx County, New York",0,0,16,16, Bronx County,0,76.0,2,007600,2007600
49,137,"Census Tract 77, Bronx County, New York",0,0,11,11, Bronx County,0,77.0,2,007700,2007700
50,138,"Census Tract 78, Bronx County, New York",0,0,16,16, Bronx County,0,78.0,2,007800,2007800
51,139,"Census Tract 79, Bronx County, New York",0,0,16,16, Bronx County,0,79.0,2,007900,2007900
52,140,"Census Tract 83, Bronx County, New York",0,28,16,47, Bronx County,28,83.0,2,008300,2008300
53,141,"Census Tract 84, Bronx County, New York",0,0,11,11, Bronx County,0,84.0,2,008400,2008400
54,142,"Census Tract 85, Bronx County, New York",11,28,19,34, Bronx County,39,85.0,2,008500,2008500
55,143,"Census Tract 86, Bronx County, New York",0,0,11,11, Bronx County,0,86.0,2,008600,2008600
56,144,"Census Tract 87, Bronx County, New York",7,0,12,16, Bronx County,7,87.0,2,008700,2008700
57,145,"Census Tract 89, Bronx County, New York",0,0,11,11, Bronx County,0,89.0,2,008900,2008900
58,146,"Census Tract 90, Bronx County, New York",19,0,25,11, Bronx County,19,90.0,2,009000,2009000
59,147,"Census Tract 92, Bronx County, New York",28,0,30,16, Bronx County,28,92.0,2,009200,2009200
60,148,"Census Tract 93, Bronx County, New York",0,18,16,28, Bronx County,18,93.0,2,009300,2009300
61,149,"Census Tract 96, Bronx County, New York",0,0,11,11, Bronx County,0,96.0,2,009600,2009600
62,150,"Census Tract 98, Bronx County, New York",0,0,16,16, Bronx County,0,98.0,2,009800,2009800
63,151,"Census Tract 110, Bronx County, New York",0,0,11,11, Bronx County,0,110.0,2,011000,2011000
64,152,"Census Tract 115.02, Bronx County, New York",11,0,16,11, Bronx County,11,115.02,2,011502,2011502
65,153,"Census Tract 117, Bronx County, New York",0,0,11,11, Bronx County,0,117.0,2,011700,2011700
66,154,"Census Tract 118, Bronx County, New York",0,0,16,16, Bronx County,0,118.0,2,011800,2011800
67,155,"Census Tract 119, Bronx County, New York",0,0,16,16, Bronx County,0,119.0,2,011900,2011900
68,156,"Census Tract 121.01, Bronx County, New York",0,0,11,11, Bronx County,0,121.01,2,012101,2012101
69,157,"Census Tract 121.02, Bronx County, New York",0,4,11,8, Bronx County,4,121.02,2,012102,2012102
70,158,"Census Tract 123, Bronx County, New York",0,12,11,17, Bronx County,12,123.0,2,012300,2012300
71,159,"Census Tract 125, Bronx County, New York",0,0,11,11, Bronx County,0,125.0,2,012500,2012500
72,160,"Census Tract 127.01, Bronx County, New York",7,0,10,11, Bronx County,7,127.01,2,012701,2012701
73,161,"Census Tract 129.01, Bronx County, New York",0,0,11,11, Bronx County,0,129.01,2,012901,2012901
74,162,"Census Tract 130, Bronx County, New York",0,0,11,11, Bronx County,0,130.0,2,013000,2013000
75,163,"Census Tract 131, Bronx County, New York",0,9,16,15, Bronx County,9,131.0,2,013100,2013100
76,164,"Census Tract 132, Bronx County, New York",12,0,19,16, Bronx County,12,132.0,2,013200,2013200
77,165,"Census Tract 133, Bronx County, New York",0,0,16,16, Bronx County,0,133.0,2,013300,2013300
78,166,"Census Tract 135, Bronx County, New York",10,28,15,34, Bronx County,38,135.0,2,013500,2013500
79,167,"Census Tract 138, Bronx County, New York",13,0,21,11, Bronx County,13,138.0,2,013800,2013800
80,168,"Census Tract 141, Bronx County, New York",0,0,16,16, Bronx County,0,141.0,2,014100,2014100
81,169,"Census Tract 143, Bronx County, New York",0,0,11,11, Bronx County,0,143.0,2,014300,2014300
82,170,"Census Tract 144, Bronx County, New York",20,0,32,16, Bronx County,20,144.0,2,014400,2014400
83,171,"Census Tract 145, Bronx County, New York",50,0,58,16, Bronx County,50,145.0,2,014500,2014500
84,172,"Census Tract 147.01, Bronx County, New York",0,0,16,16, Bronx County,0,147.01,2,014701,2014701
85,173,"Census Tract 147.02, Bronx County, New York",0,9,16,14, Bronx County,9,147.02,2,014702,2014702
86,174,"Census Tract 149, Bronx County, New York",0,5,11,10, Bronx County,5,149.0,2,014900,2014900
87,175,"Census Tract 151, Bronx County, New York",0,0,16,16, Bronx County,0,151.0,2,015100,2015100
88,176,"Census Tract 152, Bronx County, New York",0,0,11,11, Bronx County,0,152.0,2,015200,2015200
89,177,"Census Tract 153, Bronx County, New York",0,0,11,11, Bronx County,0,153.0,2,015300,2015300
90,178,"Census Tract 155, Bronx County, New York",0,0,11,11, Bronx County,0,155.0,2,015500,2015500
91,179,"Census Tract 157, Bronx County, New York",0,0,11,11, Bronx County,0,157.0,2,015700,2015700
92,180,"Census Tract 158, Bronx County, New York",0,1,11,3, Bronx County,1,158.0,2,015800,2015800
93,181,"Census Tract 159, Bronx County, New York",0,0,11,11, Bronx County,0,159.0,2,015900,2015900
94,182,"Census Tract 160, Bronx County, New York",0,11,11,17, Bronx County,11,160.0,2,016000,2016000
95,183,"Census Tract 161, Bronx County, New York",0,0,11,11, Bronx County,0,161.0,2,016100,2016100
96,184,"Census Tract 162, Bronx County, New York",0,0,11,11, Bronx County,0,162.0,2,016200,2016200
97,185,"Census Tract 163, Bronx County, New York",0,0,11,11, Bronx County,0,163.0,2,016300,2016300
98,186,"Census Tract 164, Bronx County, New York",0,0,11,11, Bronx County,0,164.0,2,016400,2016400
99,187,"Census Tract 165, Bronx County, New York",0,7,11,12, Bronx County,7,165.0,2,016500,2016500
100,188,"Census Tract 166, Bronx County, New York",0,0,11,11, Bronx County,0,166.0,2,016600,2016600
101,189,"Census Tract 167, Bronx County, New York",4,16,7,16, Bronx County,20,167.0,2,016700,2016700
102,190,"Census Tract 169, Bronx County, New York",0,0,11,11, Bronx County,0,169.0,2,016900,2016900
103,191,"Census Tract 171, Bronx County, New York",0,0,11,11, Bronx County,0,171.0,2,017100,2017100
104,192,"Census Tract 173, Bronx County, New York",38,46,67,76, Bronx County,84,173.0,2,017300,2017300
105,193,"Census Tract 175, Bronx County, New York",0,0,16,16, Bronx County,0,175.0,2,017500,2017500
106,194,"Census Tract 177.01, Bronx County, New York",0,0,11,11, Bronx County,0,177.01,2,017701,2017701
107,195,"Census Tract 177.02, Bronx County, New York",23,24,38,38, Bronx County,47,177.02,2,017702,2017702
108,196,"Census Tract 179.01, Bronx County, New York",0,22,16,27, Bronx County,22,179.01,2,017901,2017901
109,197,"Census Tract 179.02, Bronx County, New York",0,0,11,11, Bronx County,0,179.02,2,017902,2017902
110,198,"Census Tract 181.01, Bronx County, New York",0,0,11,11, Bronx County,0,181.01,2,018101,2018101
111,199,"Census Tract 181.02, Bronx County, New York",0,0,16,16, Bronx County,0,181.02,2,018102,2018102
112,200,"Census Tract 183.01, Bronx County, New York",0,13,11,21, Bronx County,13,183.01,2,018301,2018301
113,201,"Census Tract 183.02, Bronx County, New York",0,0,11,11, Bronx County,0,183.02,2,018302,2018302
114,202,"Census Tract 184, Bronx County, New York",0,0,11,11, Bronx County,0,184.0,2,018400,2018400
115,203,"Census Tract 185, Bronx County, New York",0,12,16,24, Bronx County,12,185.0,2,018500,2018500
116,204,"Census Tract 189, Bronx County, New York",0,0,16,16, Bronx County,0,189.0,2,018900,2018900
117,205,"Census Tract 193, Bronx County, New York",5,0,9,16, Bronx County,5,193.0,2,019300,2019300
118,206,"Census Tract 194, Bronx County, New York",0,0,11,11, Bronx County,0,194.0,2,019400,2019400
119,207,"Census Tract 195, Bronx County, New York",0,55,16,54, Bronx County,55,195.0,2,019500,2019500
120,208,"Census Tract 197, Bronx County, New York",0,18,16,30, Bronx County,18,197.0,2,019700,2019700
121,209,"Census Tract 199, Bronx County, New York",15,0,24,16, Bronx County,15,199.0,2,019900,2019900
122,210,"Census Tract 200, Bronx County, New York",10,0,16,11, Bronx County,10,200.0,2,020000,2020000
123,211,"Census Tract 201, Bronx County, New York",9,0,13,11, Bronx County,9,201.0,2,020100,2020100
124,212,"Census Tract 202, Bronx County, New York",0,17,11,26, Bronx County,17,202.0,2,020200,2020200
125,213,"Census Tract 204, Bronx County, New York",7,0,11,11, Bronx County,7,204.0,2,020400,2020400
126,214,"Census Tract 205.01, Bronx County, New York",47,18,76,31, Bronx County,65,205.01,2,020501,2020501
127,215,"Census Tract 205.02, Bronx County, New York",0,0,11,11, Bronx County,0,205.02,2,020502,2020502
128,216,"Census Tract 206.01, Bronx County, New York",0,0,11,11, Bronx County,0,206.01,2,020601,2020601
129,217,"Census Tract 209, Bronx County, New York",10,0,15,11, Bronx County,10,209.0,2,020900,2020900
130,218,"Census Tract 210.01, Bronx County, New York",21,0,32,16, Bronx County,21,210.01,2,021001,2021001
131,219,"Census Tract 210.02, Bronx County, New York",0,0,16,16, Bronx County,0,210.02,2,021002,2021002
132,220,"Census Tract 211, Bronx County, New York",7,0,10,16, Bronx County,7,211.0,2,021100,2021100
133,221,"Census Tract 212, Bronx County, New York",0,0,16,16, Bronx County,0,212.0,2,021200,2021200
134,222,"Census Tract 213.01, Bronx County, New York",0,0,11,11, Bronx County,0,213.01,2,021301,2021301
135,223,"Census Tract 213.02, Bronx County, New York",0,0,16,16, Bronx County,0,213.02,2,021302,2021302
136,224,"Census Tract 215.01, Bronx County, New York",0,17,11,28, Bronx County,17,215.01,2,021501,2021501
137,225,"Census Tract 215.02, Bronx County, New York",31,0,34,16, Bronx County,31,215.02,2,021502,2021502
138,226,"Census Tract 216.01, Bronx County, New York",0,0,11,11, Bronx County,0,216.01,2,021601,2021601
139,227,"Census Tract 216.02, Bronx County, New York",0,0,16,16, Bronx County,0,216.02,2,021602,2021602
140,228,"Census Tract 217, Bronx County, New York",22,0,34,16, Bronx County,22,217.0,2,021700,2021700
141,229,"Census Tract 218, Bronx County, New York",0,0,16,16, Bronx County,0,218.0,2,021800,2021800
142,230,"Census Tract 219, Bronx County, New York",0,0,11,11, Bronx County,0,219.0,2,021900,2021900
143,231,"Census Tract 220, Bronx County, New York",15,14,21,18, Bronx County,29,220.0,2,022000,2022000
144,232,"Census Tract 221.01, Bronx County, New York",7,8,12,12, Bronx County,15,221.01,2,022101,2022101
145,233,"Census Tract 221.02, Bronx County, New York",0,0,16,16, Bronx County,0,221.02,2,022102,2022102
146,234,"Census Tract 222, Bronx County, New York",0,0,11,11, Bronx County,0,222.0,2,022200,2022200
147,235,"Census Tract 223, Bronx County, New York",0,56,16,58, Bronx County,56,223.0,2,022300,2022300
148,236,"Census Tract 224.01, Bronx County, New York",0,0,11,11, Bronx County,0,224.01,2,022401,2022401
149,237,"Census Tract 224.03, Bronx County, New York",10,0,14,11, Bronx County,10,224.03,2,022403,2022403
150,238,"Census Tract 224.04, Bronx County, New York",10,0,15,11, Bronx County,10,224.04,2,022404,2022404
151,239,"Census Tract 225, Bronx County, New York",0,0,16,16, Bronx County,0,225.0,2,022500,2022500
152,240,"Census Tract 227.01, Bronx County, New York",0,0,16,16, Bronx County,0,227.01,2,022701,2022701
153,241,"Census Tract 227.02, Bronx County, New York",0,0,11,11, Bronx County,0,227.02,2,022702,2022702
154,242,"Census Tract 227.03, Bronx County, New York",0,0,11,11, Bronx County,0,227.03,2,022703,2022703
155,243,"Census Tract 228, Bronx County, New York",0,0,16,16, Bronx County,0,228.0,2,022800,2022800
156,244,"Census Tract 229.01, Bronx County, New York",0,0,16,16, Bronx County,0,229.01,2,022901,2022901
157,245,"Census Tract 229.02, Bronx County, New York",0,5,11,11, Bronx County,5,229.02,2,022902,2022902
158,246,"Census Tract 230, Bronx County, New York",0,0,11,11, Bronx County,0,230.0,2,023000,2023000
159,247,"Census Tract 231, Bronx County, New York",0,0,11,11, Bronx County,0,231.0,2,023100,2023100
160,248,"Census Tract 232, Bronx County, New York",7,4,11,7, Bronx County,11,232.0,2,023200,2023200
161,249,"Census Tract 233.01, Bronx County, New York",20,0,33,11, Bronx County,20,233.01,2,023301,2023301
162,250,"Census Tract 233.02, Bronx County, New York",0,10,11,17, Bronx County,10,233.02,2,023302,2023302
163,251,"Census Tract 235.01, Bronx County, New York",0,0,11,11, Bronx County,0,235.01,2,023501,2023501
164,252,"Census Tract 235.02, Bronx County, New York",0,0,11,11, Bronx County,0,235.02,2,023502,2023502
165,253,"Census Tract 236, Bronx County, New York",0,0,11,11, Bronx County,0,236.0,2,023600,2023600
166,254,"Census Tract 237.02, Bronx County, New York",0,0,11,11, Bronx County,0,237.02,2,023702,2023702
167,255,"Census Tract 237.03, Bronx County, New York",17,0,18,16, Bronx County,17,237.03,2,023703,2023703
168,256,"Census Tract 237.04, Bronx County, New York",22,0,35,11, Bronx County,22,237.04,2,023704,2023704
169,257,"Census Tract 238, Bronx County, New York",0,0,11,11, Bronx County,0,238.0,2,023800,2023800
170,258,"Census Tract 239, Bronx County, New York",0,0,16,16, Bronx County,0,239.0,2,023900,2023900
171,259,"Census Tract 240, Bronx County, New York",0,0,11,11, Bronx County,0,240.0,2,024000,2024000
172,260,"Census Tract 241, Bronx County, New York",44,0,49,16, Bronx County,44,241.0,2,024100,2024100
173,261,"Census Tract 243, Bronx County, New York",40,25,45,32, Bronx County,65,243.0,2,024300,2024300
174,262,"Census Tract 244, Bronx County, New York",10,0,12,11, Bronx County,10,244.0,2,024400,2024400
175,263,"Census Tract 245.01, Bronx County, New York",0,0,16,16, Bronx County,0,245.01,2,024501,2024501
176,264,"Census Tract 245.02, Bronx County, New York",40,0,46,11, Bronx County,40,245.02,2,024502,2024502
177,265,"Census Tract 246, Bronx County, New York",0,0,11,11, Bronx County,0,246.0,2,024600,2024600
178,266,"Census Tract 247, Bronx County, New York",0,0,11,11, Bronx County,0,247.0,2,024700,2024700
179,267,"Census Tract 248, Bronx County, New York",0,0,11,11, Bronx County,0,248.0,2,024800,2024800
180,268,"Census Tract 249, Bronx County, New York",0,0,11,11, Bronx County,0,249.0,2,024900,2024900
181,269,"Census Tract 250, Bronx County, New York",0,0,11,11, Bronx County,0,250.0,2,025000,2025000
182,270,"Census Tract 251, Bronx County, New York",0,0,16,16, Bronx County,0,251.0,2,025100,2025100
183,271,"Census Tract 252, Bronx County, New York",0,14,11,25, Bronx County,14,252.0,2,025200,2025200
184,272,"Census Tract 253, Bronx County, New York",17,27,19,39, Bronx County,44,253.0,2,025300,2025300
185,273,"Census Tract 254, Bronx County, New York",11,0,11,11, Bronx County,11,254.0,2,025400,2025400
186,274,"Census Tract 255, Bronx County, New York",0,0,16,16, Bronx County,0,255.0,2,025500,2025500
187,275,"Census Tract 256, Bronx County, New York",0,0,11,11, Bronx County,0,256.0,2,025600,2025600
188,276,"Census Tract 257, Bronx County, New York",0,0,11,11, Bronx County,0,257.0,2,025700,2025700
189,277,"Census Tract 261, Bronx County, New York",0,0,11,11, Bronx County,0,261.0,2,026100,2026100
190,278,"Census Tract 263, Bronx County, New York",0,0,16,16, Bronx County,0,263.0,2,026300,2026300
191,279,"Census Tract 264, Bronx County, New York",0,0,16,16, Bronx County,0,264.0,2,026400,2026400
192,280,"Census Tract 265, Bronx County, New York",0,0,16,16, Bronx County,0,265.0,2,026500,2026500
193,281,"Census Tract 266.01, Bronx County, New York",0,0,11,11, Bronx County,0,266.01,2,026601,2026601
194,282,"Census Tract 266.02, Bronx County, New York",0,0,16,16, Bronx County,0,266.02,2,026602,2026602
195,283,"Census Tract 267.01, Bronx County, New York",0,0,11,11, Bronx County,0,267.01,2,026701,2026701
196,284,"Census Tract 267.02, Bronx County, New York",0,0,16,16, Bronx County,0,267.02,2,026702,2026702
197,285,"Census Tract 269, Bronx County, New York",0,0,11,11, Bronx County,0,269.0,2,026900,2026900
198,286,"Census Tract 273, Bronx County, New York",0,0,16,16, Bronx County,0,273.0,2,027300,2027300
199,287,"Census Tract 274.01, Bronx County, New York",27,0,44,11, Bronx County,27,274.01,2,027401,2027401
200,288,"Census Tract 274.02, Bronx County, New York",0,0,11,11, Bronx County,0,274.02,2,027402,2027402
201,289,"Census Tract 276, Bronx County, New York",0,0,11,11, Bronx County,0,276.0,2,027600,2027600
202,290,"Census Tract 277, Bronx County, New York",0,0,16,16, Bronx County,0,277.0,2,027700,2027700
203,291,"Census Tract 279, Bronx County, New York",26,0,32,16, Bronx County,26,279.0,2,027900,2027900
204,292,"Census Tract 281, Bronx County, New York",0,0,11,11, Bronx County,0,281.0,2,028100,2028100
205,293,"Census Tract 283, Bronx County, New York",0,0,11,11, Bronx County,0,283.0,2,028300,2028300
206,294,"Census Tract 284, Bronx County, New York",0,0,11,11, Bronx County,0,284.0,2,028400,2028400
207,295,"Census Tract 285, Bronx County, New York",0,0,11,11, Bronx County,0,285.0,2,028500,2028500
208,296,"Census Tract 286, Bronx County, New York",0,0,11,11, Bronx County,0,286.0,2,028600,2028600
209,297,"Census Tract 287, Bronx County, New York",7,0,12,11, Bronx County,7,287.0,2,028700,2028700
210,298,"Census Tract 288, Bronx County, New York",0,0,11,11, Bronx County,0,288.0,2,028800,2028800
211,299,"Census Tract 289, Bronx County, New York",0,0,11,11, Bronx County,0,289.0,2,028900,2028900
212,300,"Census Tract 293.01, Bronx County, New York",6,0,9,11, Bronx County,6,293.01,2,029301,2029301
213,301,"Census Tract 293.02, Bronx County, New York",55,0,56,16, Bronx County,55,293.02,2,029302,2029302
214,302,"Census Tract 295, Bronx County, New York",0,0,11,11, Bronx County,0,295.0,2,029500,2029500
215,303,"Census Tract 296, Bronx County, New York",0,0,11,11, Bronx County,0,296.0,2,029600,2029600
216,304,"Census Tract 297, Bronx County, New York",0,0,11,11, Bronx County,0,297.0,2,029700,2029700
217,305,"Census Tract 300, Bronx County, New York",12,0,20,16, Bronx County,12,300.0,2,030000,2030000
218,306,"Census Tract 301, Bronx County, New York",15,0,22,11, Bronx County,15,301.0,2,030100,2030100
219,307,"Census Tract 302, Bronx County, New York",0,0,16,16, Bronx County,0,302.0,2,030200,2030200
220,308,"Census Tract 307.01, Bronx County, New York",0,0,16,16, Bronx County,0,307.01,2,030701,2030701
221,309,"Census Tract 309, Bronx County, New York",0,0,11,11, Bronx County,0,309.0,2,030900,2030900
222,310,"Census Tract 310, Bronx County, New York",41,0,42,11, Bronx County,41,310.0,2,031000,2031000
223,311,"Census Tract 312, Bronx County, New York",7,0,11,11, Bronx County,7,312.0,2,031200,2031200
224,312,"Census Tract 314, Bronx County, New York",0,0,11,11, Bronx County,0,314.0,2,031400,2031400
225,313,"Census Tract 316, Bronx County, New York",0,0,11,11, Bronx County,0,316.0,2,031600,2031600
226,314,"Census Tract 318, Bronx County, New York",0,0,11,11, Bronx County,0,318.0,2,031800,2031800
227,315,"Census Tract 319, Bronx County, New York",0,0,11,11, Bronx County,0,319.0,2,031900,2031900
228,316,"Census Tract 323, Bronx County, New York",0,0,11,11, Bronx County,0,323.0,2,032300,2032300
229,317,"Census Tract 324, Bronx County, New York",0,0,11,11, Bronx County,0,324.0,2,032400,2032400
230,318,"Census Tract 326, Bronx County, New York",0,0,11,11, Bronx County,0,326.0,2,032600,2032600
231,319,"Census Tract 328, Bronx County, New York",20,0,29,11, Bronx County,20,328.0,2,032800,2032800
232,320,"Census Tract 330, Bronx County, New York",0,0,16,16, Bronx County,0,330.0,2,033000,2033000
233,321,"Census Tract 332.01, Bronx County, New York",0,0,11,11, Bronx County,0,332.01,2,033201,2033201
234,322,"Census Tract 332.02, Bronx County, New York",24,0,37,11, Bronx County,24,332.02,2,033202,2033202
235,323,"Census Tract 334, Bronx County, New York",0,0,11,11, Bronx County,0,334.0,2,033400,2033400
236,324,"Census Tract 335, Bronx County, New York",0,0,11,11, Bronx County,0,335.0,2,033500,2033500
237,325,"Census Tract 336, Bronx County, New York",0,0,16,16, Bronx County,0,336.0,2,033600,2033600
238,326,"Census Tract 337, Bronx County, New York",0,0,11,11, Bronx County,0,337.0,2,033700,2033700
239,327,"Census Tract 338, Bronx County, New York",19,0,31,11, Bronx County,19,338.0,2,033800,2033800
240,328,"Census Tract 340, Bronx County, New York",9,0,16,11, Bronx County,9,340.0,2,034000,2034000
241,329,"Census Tract 342, Bronx County, New York",0,0,11,11, Bronx County,0,342.0,2,034200,2034200
242,330,"Census Tract 343, Bronx County, New York",0,0,11,11, Bronx County,0,343.0,2,034300,2034300
243,331,"Census Tract 344, Bronx County, New York",0,0,11,11, Bronx County,0,344.0,2,034400,2034400
244,332,"Census Tract 345, Bronx County, New York",0,20,11,28, Bronx County,20,345.0,2,034500,2034500
245,333,"Census Tract 348, Bronx County, New York",46,0,71,16, Bronx County,46,348.0,2,034800,2034800
246,334,"Census Tract 350, Bronx County, New York",0,0,11,11, Bronx County,0,350.0,2,035000,2035000
247,335,"Census Tract 351, Bronx County, New York",0,0,11,11, Bronx County,0,351.0,2,035100,2035100
248,336,"Census Tract 356, Bronx County, New York",0,0,11,11, Bronx County,0,356.0,2,035600,2035600
249,337,"Census Tract 358, Bronx County, New York",0,0,16,16, Bronx County,0,358.0,2,035800,2035800
250,338,"Census Tract 359, Bronx County, New York",5,8,9,10, Bronx County,13,359.0,2,035900,2035900
251,339,"Census Tract 360, Bronx County, New York",0,0,11,11, Bronx County,0,360.0,2,036000,2036000
252,340,"Census Tract 361, Bronx County, New York",0,0,16,16, Bronx County,0,361.0,2,036100,2036100
253,341,"Census Tract 363, Bronx County, New York",21,0,34,16, Bronx County,21,363.0,2,036300,2036300
254,342,"Census Tract 364, Bronx County, New York",14,0,22,11, Bronx County,14,364.0,2,036400,2036400
255,343,"Census Tract 365.01, Bronx County, New York",11,0,18,11, Bronx County,11,365.01,2,036501,2036501
256,344,"Census Tract 365.02, Bronx County, New York",0,0,11,11, Bronx County,0,365.02,2,036502,2036502
257,345,"Census Tract 367, Bronx County, New York",0,5,11,7, Bronx County,5,367.0,2,036700,2036700
258,346,"Census Tract 368, Bronx County, New York",0,7,11,16, Bronx County,7,368.0,2,036800,2036800
259,347,"Census Tract 369.01, Bronx County, New York",0,0,11,11, Bronx County,0,369.01,2,036901,2036901
260,348,"Census Tract 369.02, Bronx County, New York",0,0,11,11, Bronx County,0,369.02,2,036902,2036902
261,349,"Census Tract 370, Bronx County, New York",6,0,10,11, Bronx County,6,370.0,2,037000,2037000
262,350,"Census Tract 371, Bronx County, New York",0,0,11,11, Bronx County,0,371.0,2,037100,2037100
263,351,"Census Tract 372, Bronx County, New York",0,0,11,11, Bronx County,0,372.0,2,037200,2037200
264,352,"Census Tract 373, Bronx County, New York",0,13,16,21, Bronx County,13,373.0,2,037300,2037300
